Geography,Gender,Age,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
Spain,Female,66,0.0,1,1,0,1
France,Male,51,40685.92,1,1,1,0
Germany,Male,35,136857.0,1,0,0,0
Germany,Female,27,152328.88,2,0,0,0
Spain,Male,33,56084.69,2,0,0,0
Spain,Male,56,78707.16,1,1,1,0
Germany,Male,26,109166.37,1,1,1,0
Germany,Female,36,169831.46,2,1,1,0
Germany,Female,34,101633.04,1,1,0,0
Germany,Male,43,123180.01,2,1,1,0
Germany,Female,35,150725.53,2,0,1,0
France,Female,21,98373.26,1,1,0,0
Germany,Male,58,133745.44,3 or more,1,0,1
France,Male,29,0.0,1,1,0,0
Spain,Female,37,163607.18,1,0,1,0
Germany,Female,25,157780.84,2,1,1,0
France,Male,36,0.0,2,0,1,0
France,Female,21,178718.19,2,1,0,0
France,Male,55,0.0,2,1,1,0
France,Female,32,0.0,1,1,1,0
Spain,Male,33,77253.22,1,0,1,0
Germany,Female,41,122189.66,2,1,0,0
France,Female,34,96645.54,2,0,0,0
France,Female,32,0.0,1,1,0,1
France,Female,36,0.0,2,0,0,0
France,Female,34,90307.62,1,1,1,0
France,Female,46,0.0,2,1,0,0
Spain,Female,75,0.0,2,1,1,0
Spain,Male,22,121681.82,1,1,0,1
France,Male,30,0.0,2,1,0,0
France,Female,46,0.0,3 or more,1,0,1
Germany,Female,28,81623.67,2,1,1,0
Spain,Female,44,0.0,3 or more,1,1,1
France,Male,45,118626.55,2,1,0,0
France,Female,36,0.0,2,1,0,0
France,Male,29,0.0,2,1,1,0
Spain,Male,42,0.0,2,0,1,0
Spain,Male,35,176273.95,1,0,1,0
Spain,Male,41,102827.44,1,0,1,0
Germany,Male,29,97086.4,2,1,1,0
Spain,Male,22,0.0,2,0,0,0
France,Male,34,0.0,2,0,0,0
France,Female,40,0.0,1,1,1,0
France,Female,44,0.0,2,0,0,0
France,Male,31,82674.15,1,1,0,0
Spain,Male,36,0.0,2,1,0,0
Spain,Female,65,0.0,1,1,1,1
Spain,Female,46,107073.27,2,1,1,1
Germany,Male,32,88938.62,1,1,1,0
Germany,Female,36,99806.85,1,0,1,0
Spain,Male,33,150092.8,1,0,0,0
Germany,Male,35,92833.89,1,1,0,1
Germany,Male,30,90536.81,1,0,1,0
Germany,Male,39,108055.1,2,1,0,0
France,Male,42,100238.35,1,0,0,0
Spain,Male,36,106190.55,1,0,1,0
Germany,Male,28,154475.54,2,0,1,1
Germany,Female,30,132351.29,2,1,1,0
Germany,Female,37,167864.4,1,1,0,0
France,Female,41,0.0,2,1,0,0
Germany,Female,31,107818.63,1,1,0,1
Germany,Male,34,185173.81,2,1,0,0
France,Male,34,129433.34,2,0,0,0
Spain,Male,39,120193.42,1,0,0,0
France,Female,39,0.0,2,1,0,0
Germany,Female,48,126384.42,1,1,1,0
France,Female,28,0.0,1,0,0,0
France,Male,42,152603.45,1,1,0,1
France,Female,52,0.0,1,0,1,1
Germany,Male,56,148507.24,1,1,0,1
France,Female,41,0.0,2,1,0,0
France,Male,24,101827.07,1,1,0,0
France,Female,34,0.0,2,1,1,0
Germany,Female,33,130862.43,1,1,1,0
France,Male,38,122570.87,1,1,1,0
France,Male,25,0.0,2,0,1,0
Germany,Male,39,124828.46,2,1,1,0
Germany,Female,50,144895.05,2,1,1,0
Germany,Female,34,63663.93,1,0,1,0
France,Male,40,133463.1,1,0,1,0
Spain,Female,48,213146.2,1,1,0,1
Spain,Female,35,129490.36,2,0,1,1
Germany,Male,44,137452.09,1,1,0,0
France,Male,34,0.0,2,1,1,0
France,Female,43,125851.93,1,1,1,0
Spain,Male,52,0.0,1,1,0,1
France,Female,31,40915.55,1,1,0,1
Spain,Female,21,113157.22,1,1,1,0
Spain,Female,29,138296.94,2,1,0,0
France,Male,37,106967.18,1,0,0,0
France,Male,44,120681.63,1,1,0,0
France,Male,32,0.0,2,0,1,0
Spain,Female,32,0.0,2,1,0,0
France,Female,48,0.0,1,1,0,1
Spain,Male,42,0.0,2,1,0,0
France,Male,37,127609.59,1,1,0,0
France,Female,43,0.0,2,1,1,0
Spain,Male,57,0.0,1,1,0,1
France,Female,33,0.0,2,0,0,0
Spain,Female,28,0.0,2,1,1,0
France,Female,73,97259.25,1,0,1,0
Germany,Female,33,123246.7,1,0,0,0
Spain,Female,22,101060.25,1,0,1,0
France,Male,30,0.0,2,1,0,0
France,Female,49,108007.36,1,0,0,0
Spain,Female,36,0.0,2,1,1,0
Spain,Male,29,133702.89,1,1,0,1
Germany,Male,31,125189.75,2,1,1,0
Germany,Female,24,113034.22,1,1,0,1
Spain,Female,41,109013.23,1,1,0,0
Spain,Female,39,0.0,2,1,0,1
Germany,Male,24,57929.81,2,0,0,0
France,Female,29,130114.39,1,1,0,0
Germany,Male,27,95826.49,2,1,0,0
Germany,Male,44,129608.57,1,1,0,1
France,Male,30,169462.09,1,1,0,0
France,Male,40,0.0,2,1,1,0
Spain,Female,35,133868.21,1,1,1,0
France,Female,30,0.0,2,1,1,0
Germany,Male,36,190479.48,2,0,0,0
Spain,Female,40,101993.12,1,0,1,0
Germany,Female,55,161608.81,1,1,0,1
Spain,Female,45,122311.21,1,1,1,0
France,Male,65,0.0,2,1,1,0
Germany,Female,45,162150.42,2,1,0,0
France,Male,42,0.0,2,1,1,0
France,Female,50,0.0,1,1,1,1
France,Male,32,0.0,2,1,0,0
France,Female,39,99010.67,1,1,0,0
Spain,Female,37,0.0,1,0,1,0
Spain,Male,30,0.0,2,0,1,0
Germany,Female,34,111388.18,2,1,0,0
France,Female,41,56214.85,2,0,0,1
France,Female,36,84327.77,2,1,0,0
France,Male,40,0.0,2,0,0,0
France,Male,32,93012.89,1,1,0,0
Spain,Male,29,61710.44,2,1,0,0
France,Male,35,174790.15,1,1,1,0
Spain,Female,32,0.0,2,1,1,0
Germany,Male,37,107720.64,1,1,1,0
France,Male,57,0.0,2,1,1,0
France,Male,35,96423.84,1,1,0,0
Spain,Male,30,141040.01,1,1,1,0
France,Male,42,105420.18,1,0,1,0
Spain,Male,50,0.0,1,0,1,1
France,Female,38,129022.06,2,1,1,1
Spain,Male,33,176666.62,1,1,0,0
France,Male,37,0.0,1,1,1,0
Spain,Female,41,89763.84,1,0,0,1
France,Male,34,134954.53,1,1,1,0
France,Male,45,0.0,1,1,0,1
France,Male,45,106376.85,1,0,1,0
Germany,Male,33,161814.64,2,1,0,0
France,Male,31,0.0,2,1,1,0
France,Female,41,0.0,2,0,0,0
France,Female,34,63095.01,1,1,1,0
Germany,Male,26,118287.01,2,0,0,0
Germany,Male,47,106854.21,1,0,1,1
France,Male,46,49512.55,1,1,0,0
Spain,Female,33,0.0,2,0,0,0
France,Male,43,105799.32,2,1,0,1
France,Male,54,0.0,1,1,1,1
France,Female,31,114722.05,2,1,1,0
Spain,Male,30,0.0,1,0,1,0
France,Male,42,0.0,2,1,1,0
France,Male,33,0.0,1,1,0,1
Germany,Male,45,99564.22,1,1,1,1
France,Male,37,170557.91,2,1,0,0
France,Female,30,0.0,2,1,1,0
Germany,Female,39,74596.15,3 or more,1,1,1
Germany,Male,50,96888.39,1,1,0,1
Germany,Female,29,130830.22,1,1,0,0
France,Male,72,0.0,2,0,1,0
France,Male,40,0.0,2,1,0,0
France,Female,37,0.0,2,0,1,0
Germany,Male,20,119714.25,2,0,1,0
France,Female,67,113978.97,2,0,1,0
Germany,Male,42,100160.75,1,1,0,1
France,Female,29,0.0,1,1,1,0
Germany,Female,43,116220.5,3 or more,1,0,1
France,Female,46,0.0,3 or more,1,0,1
France,Male,28,81173.83,2,0,1,0
Spain,Male,38,0.0,2,1,0,0
Germany,Female,39,116803.8,1,1,0,0
France,Male,37,105961.68,2,0,1,0
Germany,Male,67,117411.6,1,1,1,1
Spain,Male,34,0.0,2,1,0,0
France,Female,40,123497.58,1,1,0,1
Germany,Male,26,152400.51,2,1,0,0
France,Female,26,0.0,2,1,1,0
Germany,Male,24,103097.85,1,1,1,0
Germany,Male,54,126418.14,1,1,0,1
Germany,Female,36,77846.9,1,0,0,0
Spain,Female,34,0.0,2,1,1,0
France,Female,79,0.0,2,0,1,0
Germany,Male,37,79731.91,1,1,1,0
Spain,Male,28,0.0,1,0,0,0
Spain,Male,41,0.0,2,0,1,0
France,Male,34,0.0,2,1,1,0
Germany,Female,34,37266.67,2,0,0,0
France,Female,30,127992.25,1,1,1,0
Germany,Male,38,54901.01,1,1,1,0
Germany,Male,42,108748.08,2,1,1,0
Spain,Female,48,99906.19,1,1,0,0
France,Female,32,184686.41,2,1,0,0
France,Female,26,110654.02,1,0,1,0
Spain,Male,31,79019.8,1,1,1,0
Spain,Female,36,99240.51,1,1,0,0
France,Male,34,0.0,2,1,1,0
France,Male,36,0.0,2,1,0,0
Spain,Female,39,0.0,1,0,0,1
Germany,Female,35,52436.2,1,1,0,0
Spain,Male,41,0.0,2,0,1,0
Germany,Male,34,100337.96,3 or more,1,0,1
Germany,Female,34,149297.19,2,1,1,0
France,Male,30,0.0,2,1,0,0
Germany,Male,28,145605.44,1,0,1,0
Spain,Female,37,0.0,2,1,1,0
France,Male,62,0.0,1,1,1,1
France,Female,53,0.0,2,1,0,0
France,Male,35,84026.86,1,0,1,0
France,Male,46,0.0,1,1,0,1
France,Male,39,0.0,2,1,1,0
Spain,Male,29,0.0,2,1,1,0
Germany,Male,35,138718.92,1,1,1,1
France,Male,42,118274.71,1,1,1,0
France,Female,22,174185.98,2,0,1,0
France,Male,40,113208.86,2,1,0,0
Spain,Male,29,103907.28,1,1,0,0
France,Female,32,119023.28,1,1,0,0
Spain,Female,26,166297.89,1,1,1,0
Spain,Male,34,0.0,2,1,0,0
Germany,Male,42,63227.0,1,0,1,0
Spain,Female,41,94521.17,2,1,0,0
France,Male,27,0.0,2,1,0,0
Spain,Female,34,112822.26,1,0,0,1
France,Male,38,0.0,2,1,1,0
France,Male,25,135903.33,1,1,0,0
France,Female,31,125169.26,1,1,1,0
Spain,Female,44,0.0,3 or more,1,0,1
France,Male,58,149117.31,1,1,1,0
France,Male,33,0.0,2,1,1,0
France,Female,31,0.0,2,1,0,0
Spain,Female,36,132311.71,1,0,0,0
France,Male,35,0.0,2,1,0,0
France,Female,33,0.0,2,1,1,0
France,Male,33,118082.89,1,0,0,0
France,Male,31,119266.69,1,1,1,0
France,Male,43,0.0,1,1,1,1
Germany,Male,35,156847.29,2,1,0,0
France,Male,50,137104.47,1,1,0,1
Germany,Male,31,78398.69,1,1,0,0
France,Female,80,0.0,2,1,1,0
Germany,Male,30,63669.42,1,1,0,0
France,Male,38,0.0,2,0,0,0
Germany,Female,59,135296.33,1,1,0,0
Spain,Male,36,153804.44,1,1,1,0
Spain,Male,37,0.0,2,0,0,0
France,Male,49,147069.78,1,1,0,1
Spain,Male,42,0.0,2,1,1,0
Spain,Female,22,0.0,1,1,0,0
France,Male,24,95741.75,1,1,0,0
Spain,Female,57,145965.33,1,1,1,0
France,Female,30,141441.75,1,1,1,0
France,Male,40,139290.41,1,1,0,1
France,Female,31,0.0,2,0,0,0
France,Male,30,0.0,2,1,0,0
France,Male,35,144428.87,1,1,0,0
France,Male,35,0.0,2,1,0,0
France,Female,46,95441.27,1,1,0,1
Germany,Male,35,144848.74,1,1,1,0
Germany,Male,26,116244.14,2,1,1,0
France,Male,50,0.0,2,0,1,0
Spain,Female,40,146502.07,1,1,0,0
Germany,Male,44,117028.6,2,0,1,0
Germany,Female,30,112013.81,1,1,0,1
Spain,Female,37,108269.37,1,1,0,0
France,Male,29,182123.79,1,1,0,1
Germany,Female,32,150923.74,2,0,1,0
France,Male,33,0.0,2,1,0,0
Spain,Female,39,165272.13,1,1,0,1
Germany,Female,39,115301.31,1,1,0,1
Germany,Female,40,129502.49,2,0,1,1
France,Male,31,118342.26,1,0,0,0
Spain,Female,47,0.0,2,1,1,0
France,Male,22,0.0,2,0,0,0
France,Female,25,0.0,2,1,0,0
France,Female,43,0.0,2,1,0,0
Germany,Female,34,106937.05,2,1,0,0
Germany,Male,59,170331.37,1,1,1,0
Germany,Female,32,114510.85,1,1,1,0
France,Male,39,0.0,2,1,1,0
Spain,Male,32,107594.11,2,1,1,0
Spain,Male,39,81273.13,1,1,1,0
Spain,Female,32,169399.6,1,1,0,0
Spain,Male,25,0.0,2,1,1,0
France,Female,45,187841.99,2,1,1,0
France,Male,30,0.0,2,1,0,0
Spain,Female,57,126776.3,2,1,1,0
Spain,Male,34,126436.29,1,1,0,1
France,Male,41,101960.74,1,1,1,0
France,Male,58,0.0,2,0,1,0
Spain,Male,28,0.0,2,0,1,0
Germany,Female,45,150842.93,1,0,1,1
France,Female,50,102535.57,1,1,1,0
Germany,Female,29,99027.61,2,1,0,0
France,Male,68,0.0,2,1,1,0
Spain,Female,33,0.0,1,1,1,0
Germany,Female,42,87271.41,2,1,0,0
Germany,Female,35,102742.91,2,1,1,0
Germany,Male,34,40105.51,2,0,1,0
France,Female,29,152265.43,1,1,0,0
Spain,Male,42,141947.67,1,1,1,0
Germany,Female,75,106307.91,2,0,1,0
Germany,Male,31,107884.81,2,1,1,0
Germany,Male,31,125013.72,1,1,1,0
Germany,Male,35,58469.37,2,1,1,0
France,Female,39,0.0,1,0,1,0
Germany,Male,45,117231.63,3 or more,1,1,1
Spain,Male,35,152390.26,1,1,0,0
Spain,Female,30,34013.63,1,1,0,0
Spain,Female,39,0.0,3 or more,0,0,1
France,Female,50,0.0,2,1,1,0
France,Male,36,101583.11,2,1,0,0
Germany,Female,30,77168.87,2,0,1,0
Germany,Male,28,124695.72,2,1,0,0
Germany,Male,44,105934.96,1,1,0,0
France,Female,66,0.0,1,1,1,0
Spain,Male,46,0.0,2,1,0,0
Spain,Male,62,0.0,2,1,1,0
Spain,Female,45,0.0,2,0,1,0
France,Female,21,161525.96,2,1,0,0
Germany,Female,29,147199.07,1,1,1,0
Germany,Male,38,183102.29,1,1,1,0
Spain,Male,46,127209.0,2,1,0,1
Spain,Male,38,0.0,2,0,0,1
Spain,Female,24,97378.54,1,1,1,0
Germany,Female,37,136925.09,2,0,1,0
France,Male,33,54503.55,1,1,1,0
Germany,Male,32,155726.85,1,1,0,0
France,Female,39,0.0,2,0,1,0
France,Female,66,135842.41,1,1,0,1
France,Male,52,63349.75,1,1,0,0
Germany,Female,38,129499.42,1,1,1,0
Spain,Male,52,0.0,2,0,1,0
Spain,Male,36,70438.01,2,0,1,0
France,Male,23,0.0,2,1,1,0
France,Male,36,0.0,1,1,0,0
Spain,Female,49,141434.04,1,0,0,1
Spain,Female,37,0.0,2,1,0,0
Germany,Male,37,152958.29,2,1,1,0
Germany,Female,41,138306.34,1,1,0,0
Spain,Male,23,0.0,2,0,0,0
France,Male,38,0.0,2,1,1,0
Spain,Female,31,124328.84,1,1,1,0
Germany,Female,41,181461.48,3 or more,1,1,1
Spain,Male,35,0.0,2,1,0,0
Spain,Male,26,0.0,2,0,0,0
Germany,Female,61,110368.03,1,0,0,1
France,Female,39,89588.35,1,1,1,0
France,Female,46,0.0,2,0,0,0
France,Female,28,0.0,2,0,0,0
Germany,Female,60,115924.89,1,1,0,1
France,Female,38,0.0,2,1,0,0
Germany,Male,40,111756.5,1,1,0,1
France,Female,35,0.0,1,1,0,0
France,Male,39,0.0,1,1,0,0
France,Male,26,162923.85,1,1,0,0
Germany,Male,39,124576.65,2,1,0,0
France,Male,45,80793.58,1,1,1,0
Germany,Female,40,71340.09,1,1,0,0
Germany,Male,40,99282.63,1,0,0,1
Germany,Male,57,137946.39,1,1,1,1
Germany,Male,41,127892.57,2,0,1,0
Germany,Female,33,101084.36,1,1,0,0
Germany,Female,37,114754.08,1,1,0,1
France,Male,33,0.0,1,0,0,0
France,Female,51,99286.98,1,0,1,0
Germany,Female,30,79871.02,2,1,0,0
France,Male,35,104088.59,2,0,0,0
France,Female,38,168190.33,2,1,0,0
Germany,Female,42,85679.25,1,1,1,0
France,Female,35,0.0,1,0,0,0
France,Female,31,0.0,2,1,0,0
France,Female,34,121551.58,2,1,1,0
France,Male,46,122220.19,1,1,1,0
Spain,Male,47,116528.15,1,0,0,1
France,Female,26,77780.29,1,0,1,0
France,Male,37,0.0,1,0,0,0
France,Male,40,125832.2,1,1,1,0
France,Female,38,68065.8,1,0,0,1
Spain,Female,47,127299.34,2,1,0,0
Germany,Female,38,174937.64,1,1,0,0
France,Male,40,0.0,2,0,1,0
Spain,Male,31,110071.1,1,0,0,0
Spain,Female,44,139432.37,1,1,0,0
France,Female,39,127357.76,1,0,1,0
France,Male,36,0.0,2,1,0,0
France,Male,33,0.0,1,1,1,0
France,Male,38,0.0,2,1,0,0
Germany,Male,43,95556.31,1,0,1,1
Spain,Male,37,0.0,1,1,1,0
Germany,Male,29,111681.98,2,1,1,0
France,Male,39,0.0,2,1,0,0
Spain,Female,25,108738.71,2,1,0,0
France,Female,32,133950.37,1,1,1,1
Spain,Male,26,0.0,2,1,1,0
France,Male,33,89968.69,1,1,0,0
Spain,Female,32,0.0,2,1,1,0
Germany,Female,38,130878.75,3 or more,1,0,1
France,Male,35,0.0,2,1,0,0
France,Male,35,0.0,2,1,1,0
Spain,Male,27,134169.62,1,1,1,0
France,Male,37,149762.08,1,1,0,1
France,Male,26,93844.69,1,1,0,0
France,Male,28,0.0,2,1,0,0
France,Female,33,0.0,2,1,0,0
Germany,Male,46,141078.37,1,0,0,1
Germany,Female,31,117992.59,1,1,1,0
France,Female,40,100812.33,2,1,0,0
France,Male,38,0.0,1,1,1,0
France,Male,29,80262.6,1,1,1,0
Spain,Male,34,156478.62,1,0,1,0
France,Female,23,0.0,2,1,0,0
France,Male,37,0.0,3 or more,0,0,0
Germany,Male,37,115217.99,2,1,0,0
Spain,Male,61,0.0,2,1,0,1
France,Female,35,155470.55,1,1,1,0
France,Male,37,0.0,2,1,0,0
France,Male,39,135096.77,1,1,1,1
France,Male,30,0.0,2,0,1,0
Germany,Female,55,180075.22,1,1,1,0
Spain,Male,29,97541.24,1,1,1,0
France,Female,41,156067.05,1,1,1,0
France,Female,38,81550.94,2,0,1,0
France,Female,47,0.0,1,0,0,1
France,Female,38,170061.92,2,0,0,1
Germany,Male,36,92310.54,2,1,1,0
France,Female,32,169089.38,2,1,0,0
France,Male,40,80613.93,1,1,1,0
Germany,Male,26,121581.56,2,1,1,0
France,Female,58,0.0,1,0,1,1
Spain,Male,32,0.0,2,1,1,0
France,Male,54,0.0,2,1,1,0
France,Male,60,85891.55,1,1,0,1
Spain,Male,44,77637.35,2,1,1,0
Spain,Female,41,0.0,1,0,0,0
France,Male,31,0.0,2,1,0,0
Germany,Male,30,116927.89,1,1,0,0
Germany,Female,40,137326.65,1,1,0,0
France,Male,22,0.0,2,1,1,0
Spain,Female,37,0.0,2,1,1,0
Germany,Female,31,67238.98,2,1,1,0
Germany,Female,38,86569.76,2,1,0,0
Spain,Male,34,0.0,2,0,0,0
France,Male,34,133598.4,1,1,1,0
France,Female,51,136188.78,1,1,1,1
Spain,Male,38,0.0,2,1,0,0
France,Female,56,0.0,3 or more,0,1,1
Germany,Male,37,120092.52,2,1,0,0
France,Male,48,101238.24,2,0,1,1
France,Male,58,89685.92,1,0,1,0
France,Female,35,211774.31,1,1,0,1
France,Male,56,131317.48,1,1,1,0
Spain,Male,37,93722.73,2,1,1,0
Germany,Male,32,101160.99,1,1,1,0
France,Male,48,120320.54,1,0,0,0
France,Female,31,0.0,2,1,1,0
France,Male,43,0.0,2,1,1,0
France,Male,26,0.0,2,1,0,0
Germany,Female,48,152827.99,1,1,0,1
France,Male,30,64097.75,1,1,1,0
Spain,Female,57,119035.35,2,1,1,0
Spain,Female,26,135219.57,1,0,1,0
France,Male,32,93694.42,1,1,1,0
Spain,Male,35,59408.63,1,1,0,0
France,Female,40,114354.95,1,1,0,0
France,Male,59,0.0,1,1,0,1
Germany,Male,35,128173.9,2,1,0,0
Spain,Male,34,0.0,2,1,0,0
Germany,Female,62,114931.35,3 or more,0,1,1
Germany,Female,28,111071.36,1,1,0,1
France,Male,37,151226.18,2,1,1,0
France,Male,26,0.0,2,1,1,0
France,Female,42,64740.12,1,1,1,0
Spain,Male,51,169312.13,1,1,0,1
France,Female,49,0.0,3 or more,0,1,1
Spain,Female,44,112652.08,2,1,0,0
France,Male,38,0.0,2,1,0,0
Germany,Female,30,143964.36,2,1,0,0
France,Male,49,122451.46,2,1,1,0
France,Male,24,0.0,3 or more,1,1,0
Germany,Female,36,65253.07,2,1,0,0
Germany,Male,47,106901.94,1,1,1,1
Spain,Female,25,128509.63,1,1,0,0
France,Male,34,0.0,2,1,0,0
Germany,Male,33,129834.67,1,1,0,0
Spain,Female,51,154962.99,3 or more,0,1,1
Germany,Male,40,138241.9,2,1,0,0
Germany,Male,41,91536.93,1,1,0,1
Spain,Male,53,0.0,2,1,1,0
Spain,Female,70,0.0,1,1,1,0
Germany,Female,29,105204.01,1,0,1,0
Spain,Male,61,152968.73,1,0,1,0
Spain,Male,36,158261.68,1,1,1,0
France,Female,46,0.0,1,1,0,1
Spain,Female,38,121021.05,1,1,1,0
France,Male,36,0.0,2,1,1,0
Spain,Female,54,0.0,1,0,0,1
Spain,Female,63,137715.66,1,1,1,0
Germany,Male,31,121192.22,2,1,1,0
France,Male,31,0.0,3 or more,1,1,0
France,Male,44,100486.18,2,1,1,0
France,Male,45,0.0,1,1,0,1
France,Male,35,92566.53,2,1,0,0
Spain,Female,49,0.0,2,1,1,1
Spain,Male,40,110929.96,1,1,1,0
France,Female,27,0.0,2,1,1,0
Spain,Female,32,138901.61,1,1,0,0
France,Male,30,123217.66,2,0,1,0
France,Female,41,0.0,1,1,0,0
France,Male,39,0.0,2,1,1,0
Spain,Male,36,0.0,2,1,0,0
Spain,Female,33,108431.87,2,0,1,1
Spain,Female,57,0.0,2,0,1,0
Germany,Female,30,72392.41,1,1,0,0
Germany,Female,51,119741.77,2,0,0,1
France,Female,51,100946.71,1,0,0,1
Spain,Male,53,170491.84,1,1,0,1
France,Male,44,0.0,1,1,1,0
France,Male,36,0.0,1,1,0,0
Spain,Female,47,157296.02,2,0,0,1
Germany,Female,38,144606.22,1,1,1,1
France,Male,38,134811.3,1,1,0,0
France,Female,34,115897.12,1,1,1,0
Spain,Male,32,82034.0,1,0,0,0
Spain,Female,26,174318.13,2,0,1,0
Germany,Female,41,114206.84,1,1,0,0
Spain,Male,43,0.0,2,1,0,0
Germany,Male,39,111574.41,1,1,1,0
Germany,Female,57,162448.69,1,0,0,1
Germany,Female,34,148249.54,1,0,1,0
France,Female,43,0.0,3 or more,0,1,1
Spain,Female,26,123709.46,2,1,1,0
France,Female,72,0.0,1,0,1,0
France,Male,30,0.0,1,1,0,1
France,Male,37,150525.8,1,1,1,0
France,Male,29,0.0,1,1,1,0
France,Male,53,0.0,2,0,1,0
France,Male,28,0.0,2,1,0,0
France,Male,35,0.0,2,1,1,0
Germany,Female,51,111018.98,1,1,0,0
France,Male,30,129755.99,1,0,0,0
France,Female,27,0.0,2,1,0,0
France,Female,64,129555.7,1,1,1,0
Spain,Male,38,87202.38,1,1,1,0
Germany,Male,26,146133.39,1,1,1,0
Spain,Female,31,0.0,1,1,0,1
Spain,Male,39,170184.99,2,1,0,0
Germany,Female,62,140745.33,1,1,0,1
Spain,Male,42,139070.51,1,1,1,0
Spain,Female,37,0.0,2,1,1,0
France,Male,35,114193.24,1,1,0,0
Spain,Female,40,167878.5,1,0,1,0
Germany,Female,53,141616.55,2,1,1,0
Germany,Male,36,145747.67,2,0,1,0
Spain,Female,48,129120.64,1,0,1,0
Spain,Male,35,110349.82,1,0,0,0
France,Male,29,141325.56,1,1,1,0
France,Male,49,78653.84,1,1,0,0
France,Male,47,0.0,2,1,1,0
Spain,Female,28,142253.65,1,1,0,0
France,Female,61,0.0,1,1,0,1
Germany,Female,54,115988.86,1,1,0,1
Spain,Female,33,75592.43,1,1,0,0
Germany,Male,44,164113.04,2,1,1,0
France,Male,31,67996.23,2,0,0,1
Spain,Female,51,0.0,2,1,0,0
Spain,Female,33,0.0,2,0,0,0
France,Male,48,138778.15,1,0,1,0
France,Female,43,147832.15,1,0,1,0
France,Female,36,135438.4,1,0,0,0
Spain,Male,48,116060.08,1,1,0,1
France,Female,29,112564.62,1,1,0,0
France,Female,27,125406.58,1,1,1,0
Germany,Female,39,135134.99,1,1,0,1
France,Female,39,133102.92,1,1,0,1
France,Female,34,42157.08,1,1,0,1
France,Female,30,0.0,2,1,1,0
France,Male,38,82259.29,1,1,0,0
France,Female,36,0.0,2,1,0,0
France,Male,38,0.0,2,1,1,0
France,Female,49,0.0,2,1,1,0
France,Male,52,0.0,1,1,1,0
France,Male,42,150461.07,1,1,0,0
Germany,Male,48,133994.52,1,1,1,1
Spain,Male,31,164870.81,2,1,1,0
Germany,Male,25,121702.73,1,1,1,0
Spain,Male,25,193858.2,1,0,1,0
Germany,Female,54,131039.97,2,1,1,0
France,Male,64,113829.45,1,1,1,0
France,Female,30,0.0,2,1,0,0
Germany,Female,41,81877.38,1,1,1,0
Spain,Male,57,116326.07,1,1,1,0
France,Male,31,0.0,2,1,1,0
France,Male,46,0.0,2,1,1,0
France,Female,41,0.0,2,0,1,0
France,Male,33,0.0,2,1,1,0
France,Female,31,127070.73,1,0,1,0
France,Male,29,0.0,2,1,1,0
Spain,Male,46,122549.64,1,1,1,0
